App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Genres,Last Updated,Current Ver,Android Ver,id
Zombicide: Green Horde,Thematic,3.933205,2550,60,2550,Thematic,2018,Thematic,Thematic,1,6,14,524
Medici,Strategy,3.570875,6968,60,6968,Strategy,1995,Strategy,Strategy,2,6,10,525
Tokaido,Family,3.502005,19341,45,19341,Family,2012,Family,Family,2,5,8,526
Escape: The Curse of the Temple,Family,3.499505,15065,10,15065,Family,2012,Family,Family,1,5,8,527
Vegas Showdown,Strategy,3.590055,6022,75,6022,Strategy,2005,Strategy,Strategy,3,5,12,528
Advanced Squad Leader: Starter Kit #1,Uncategorized,3.908555,2315,120,2315,Uncategorized,2004,Uncategorized,Uncategorized,2,2,13,529
Eminent Domain,Strategy,3.5321,9228,45,9228,Strategy,2011,Strategy,Strategy,2,4,10,530
Cry Havoc,Strategy,3.622075,5586,120,5586,Strategy,2016,Strategy,Strategy,2,4,10,531
Kingdom Builder,Strategy,3.48426,18385,45,18385,Strategy,2011,Strategy,Strategy,2,4,8,532
Arkwright,Strategy,3.938245,1876,240,1876,Strategy,2014,Strategy,Strategy,2,4,12,533
The Duke,Abstract,3.7054,3649,30,3649,Abstract,2013,Abstract,Abstract,2,2,13,534
Coloretto,Family,3.48335,17349,30,17349,Family,2003,Family,Family,2,5,8,535
Tash-Kalar: Arena of Legends,Strategy,3.595335,5772,60,5772,Strategy,2013,Strategy,Strategy,2,4,13,536
Yamataï,Strategy,3.62148,5072,80,5072,Strategy,2017,Strategy,Strategy,2,4,13,537
Elder Sign,Thematic,3.49397,21325,90,21325,Thematic,2011,Thematic,Thematic,1,8,13,538
Arcadia Quest: Inferno,Thematic,4.028975,1802,120,1802,Thematic,2017,Thematic,Thematic,2,4,13,539
Marco Polo II: In the Service of the Khan,Strategy,4.12888,1424,120,1424,Strategy,2019,Strategy,Strategy,2,4,12,540
K2,Family,3.539205,8691,60,8691,Family,2010,Family,Family,1,5,8,541
Space Hulk,Thematic,3.7359,3601,45,3601,Thematic,1989,Thematic,Thematic,2,4,12,542
Leaving Earth,Strategy,3.911895,2162,180,2162,Strategy,2015,Strategy,Strategy,1,5,15,543
Love Letter: Batman,Family,3.638695,4865,20,4865,Family,2015,Family,Family,2,4,10,544
Cacao,Family,3.55722,7587,45,7587,Family,2015,Family,Family,2,4,8,545
Sidereal Confluence: Remastered Edition,Strategy,3.894515,2096,180,2096,Strategy,2017,Strategy,Strategy,4,9,14,546
Shipyard,Strategy,3.68239,3629,120,3629,Strategy,2009,Strategy,Strategy,2,4,11,547
Summoner Wars: Alliances Master Set,Uncategorized,4.0678,1562,45,1562,Uncategorized,2014,Uncategorized,Uncategorized,2,4,9,548
BANG! The Dice Game,Party,3.482825,18722,15,18722,Party,2013,Party,Party,3,8,8,549
Zombicide Season 2: Prison Outbreak,Thematic,3.70274,4108,60,4108,Thematic,2013,Thematic,Thematic,1,6,13,550
Middle-Earth Quest,Thematic,3.689655,3894,180,3894,Thematic,2009,Thematic,Thematic,2,4,13,551
Yspahan,Strategy,3.544685,7633,60,7633,Strategy,2006,Strategy,Strategy,2,4,8,552
Hadara,Strategy,3.7608,2880,60,2880,Strategy,2019,Strategy,Strategy,2,5,10,553
Star Trek: Ascendancy,Thematic,3.902575,2425,180,2425,Thematic,2016,Thematic,Thematic,3,3,14,554
Star Trek: Fleet Captains,Strategy,3.76209,3098,120,3098,Strategy,2011,Strategy,Strategy,2,4,14,555
Coal Baron,Strategy,3.651095,4166,75,4166,Strategy,2013,Strategy,Strategy,2,4,10,556
Onirim (Second Edition),Strategy,3.55971,7377,15,7377,Strategy,2014,Strategy,Strategy,1,2,10,557
Ashes: Rise of the Phoenixborn,Uncategorized,3.653935,4901,120,4901,Uncategorized,2015,Uncategorized,Uncategorized,2,4,14,558
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,Uncategorized,3.761655,2944,120,2944,Uncategorized,2008,Uncategorized,Uncategorized,1,4,10,559
Dragon Castle,Abstract,3.61976,4909,45,4909,Abstract,2017,Abstract,Abstract,2,4,8,560
The Networks,Strategy,3.61458,4830,90,4830,Strategy,2016,Strategy,Strategy,1,5,13,561
Empires: Age of Discovery,Strategy,3.94864,1791,150,1791,Strategy,2015,Strategy,Strategy,2,6,10,562
World Without End,Strategy,3.633085,4514,120,4514,Strategy,2009,Strategy,Strategy,2,4,12,563
Churchill,Strategy,3.839765,2265,300,2265,Strategy,2015,Strategy,Strategy,1,3,14,564
Century: Eastern Wonders,Family,3.6247,4900,45,4900,Family,2018,Family,Family,2,4,8,565
The Oracle of Delphi,Strategy,3.64836,3966,100,3966,Strategy,2016,Strategy,Strategy,2,4,12,566
Between Two Cities,Family,3.517575,9072,25,9072,Family,2015,Family,Family,1,7,8,567
HeroQuest,Thematic,3.56542,10555,90,10555,Thematic,1989,Thematic,Thematic,2,5,10,568
Among the Stars,Strategy,3.550945,6536,30,6536,Strategy,2012,Strategy,Strategy,2,4,12,569
Telestrations: 12 Player Party Pack,Party,3.886575,2042,30,2042,Party,2011,Party,Party,4,12,12,570
1989: Dawn of Freedom,Strategy,3.89457,1964,150,1964,Strategy,2012,Strategy,Strategy,2,2,12,571
Napoleon's Triumph,Uncategorized,3.9933,1675,180,1675,Uncategorized,2007,Uncategorized,Uncategorized,2,2,12,572
Washington's War,Uncategorized,3.818625,2328,90,2328,Uncategorized,2010,Uncategorized,Uncategorized,2,2,0,573
Vast: The Crystal Caverns,Strategy,3.60328,5528,75,5528,Strategy,2016,Strategy,Strategy,1,5,10,574
The Mind,Family,3.47837,16338,15,16338,Family,2018,Family,Family,2,4,8,575
Super Motherload,Strategy,3.70485,3197,75,3197,Strategy,2015,Strategy,Strategy,2,4,13,576
Mexica,Strategy,3.618375,4854,90,4854,Strategy,2002,Strategy,Strategy,2,4,10,577
Ascension: Deckbuilding Game,Strategy,3.51605,11399,30,11399,Strategy,2010,Strategy,Strategy,1,4,13,578
Carcassonne: The Castle,Strategy,3.546565,7363,30,7363,Strategy,2003,Strategy,Strategy,2,2,8,579
